"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Mixed identifiable",1,0.0460671595378937,0.00142084198604628,0.0291477165623027,0.00229673886199138,0.016919442975591,0.00197129457537864,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",2,0.0443905740146657,0.0012357186278885,0.0303125834037471,0.00223576514086233,0.0140779906109186,0.00191539631951396,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",3,0.0443563999641456,0.00140679303776505,0.0240020143946332,0.00224442765378976,0.0203543855695124,0.00186522506314633,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",4,0.0445690810976954,0.00140114469774984,0.0327089109394485,0.00232743879265975,0.0118601701582469,0.00186415984331844,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",5,0.045561894898018,0.00131535631379589,0.0310070296624486,0.00229113422330835,0.0145548652355694,0.00184996591591803,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",6,0.047852464544527,0.00124610276024453,0.032889584081387,0.00232373896199838,0.0149628804631399,0.00194772683869983,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",7,0.0456731204675767,0.0013985120226488,0.0312355769904893,0.00227721420716677,0.0144375434770874,0.00179809517351767,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",8,0.0448941382064709,0.00140701187907373,0.0261966127823057,0.00235389285636616,0.0186975254241652,0.00195087315886346,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",9,0.045527951301148,0.00120865984598284,0.0325229255281548,0.00220426577541323,0.0130050257729932,0.0018547725195845,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",10,0.0461023777491387,0.00119788563586559,0.0293557672124565,0.00200787616081524,0.0167466105366822,0.00169727111644469,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",11,0.0447451099990955,0.00133714745258616,0.0307428217922768,0.0022555107116851,0.0140022882068186,0.00187401397894976,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",12,0.044220887568103,0.00140709110129948,0.0304085980538543,0.00243141434420171,0.0138122895142487,0.00199688725066912,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",13,0.0453940107598912,0.00131168695237221,0.0274429547280482,0.00208857201170605,0.0179510560318429,0.00169588285774517,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",14,0.0437415487063424,0.00139978618528465,0.0295024982940125,0.00239552597828796,0.0142390504123299,0.00194724188534947,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",15,0.0471362530694531,0.00137021707309851,0.0332854593780981,0.00233959455510387,0.013850793691355,0.00183381222129332,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",16,0.0438709629084236,0.00146262583544363,0.0319644665642507,0.0021059493047814,0.011906496344173,0.00167066753887763,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",17,0.0434964064470758,0.00134231802245027,0.0281252506950373,0.00223965492672736,0.0153711557520386,0.001873829651792,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",18,0.0450337669635784,0.00128146778885459,0.0276827067122907,0.00229811434558162,0.0173510602512876,0.00201656521495678,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",19,0.045733241269473,0.0014575977450637,0.0309124309809479,0.00248550335850172,0.0148208102885251,0.00199709920351299,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",20,0.0437431106753688,0.00130839189276496,0.0298430860012753,0.00231624575971021,0.0139000246740935,0.00191359683016242,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",21,0.0435213459727849,0.00136580856178842,0.028498861291673,0.00223270077389149,0.015022484681112,0.0018646292315338,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",22,0.0437115313852473,0.0013931815825383,0.0244360029914729,0.00239630524860385,0.0192755283937744,0.00197292455300258,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",23,0.0436542411277875,0.0013626654551684,0.0269663062843319,0.00234171959770387,0.0166879348434555,0.00192211145125044,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",24,0.0449751622815905,0.00144427383935696,0.0303544424523516,0.00225935221147907,0.0146207198292389,0.00185134474167748,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",25,0.0459909892103783,0.00142363285152295,0.0294937207527866,0.00244958585547327,0.0164972684575918,0.00195288842801034,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",26,0.0463361525817744,0.00139892894243221,0.0292295277799614,0.00221303258356273,0.017106624801813,0.00177926345719091,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",27,0.0448165872134168,0.00138152037595608,0.0328440939313297,0.0023263211588382,0.0119724932820871,0.0018777584763316,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",28,0.0417840664029794,0.00137476785756348,0.0335146470657129,0.00204170088008226,0.00826941933726655,0.00165363164151496,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",29,0.0464403459992021,0.00143678088518468,0.03695059631455,0.00211771785186902,0.00948974968465203,0.00173293411767373,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",30,0.0469176584525888,0.00149951511884763,0.0319311697731783,0.00239180012274924,0.0149864886794105,0.00196757036572512,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",31,0.0462820087897258,0.00139976066107081,0.0318994620498245,0.00227278563798575,0.0143825467399013,0.00183400149402811,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",32,0.0454326695888139,0.0013822277061749,0.034047145348687,0.00240903003125254,0.0113855242401269,0.00187358158848057,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",33,0.0447341020777646,0.00138879492159735,0.0272516924523115,0.00238099493926012,0.017482409625453,0.00192617611321737,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",34,0.0432681788097841,0.00140174193291903,0.0248801818983179,0.00230567508980887,0.0183879969114663,0.00185967919953363,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",35,0.0435769489332773,0.00129908407965003,0.0295856667614191,0.00226186076788588,0.0139912821718582,0.00188514744948953,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",36,0.0462927446898863,0.00139904402575566,0.0365153431712214,0.00241391513818277,0.00977740151866494,0.0020345665508104,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",37,0.0466819292149219,0.00136649129164546,0.0290875814363029,0.00216970042721266,0.0175943477786191,0.00180909056558968,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",38,0.044161154510451,0.00140474335906961,0.0312814017292225,0.00243201567463514,0.0128797527812285,0.0018863580082953,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",39,0.0460438274021054,0.00140046278012624,0.0331377096217258,0.00218970576976109,0.0129061177803796,0.0017747193274073,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",40,0.0441804166518527,0.0013388387341632,0.0276758026441682,0.0023240815848112,0.0165046140076845,0.00189311502322995,0.0449,0.03,0.0149,0.0149,0
"Confounded residual",1,0.0644226281061271,0.00147277365817452,0.0292406543105742,0.00233379748211356,0.0351819737955529,0.00187088825781447,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",2,0.0625807643724975,0.0014015949545608,0.0274028833236176,0.00209887367722394,0.0351778810488799,0.00185097672462618,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",3,0.064088136307376,0.00152170677441325,0.0321775597404541,0.00215147785012163,0.0319105765669218,0.00173104815186889,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",4,0.0633547471168426,0.00136408635401979,0.0293530937833444,0.00224528362911922,0.0340016533334981,0.00179091042257193,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",5,0.0631474191901004,0.00145095523174642,0.0277280700601132,0.00208174112978472,0.0354193491299871,0.00174501576009873,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",6,0.0594668516928194,0.00138188120982428,0.0270330760280026,0.00228771581212216,0.0324337756648168,0.00198710563831172,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",7,0.0620810634483927,0.00149811817635074,0.0282048640138825,0.00214915263401856,0.0338761994345102,0.00177783060618543,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",8,0.0634445708174138,0.00144731142150433,0.0322445241229139,0.00220602909615672,0.0312000466944998,0.00185045624696783,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",9,0.0631644409206256,0.00143597870069079,0.0271705507597628,0.00227033627518645,0.0359938901608628,0.00196867944518827,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",10,0.0618236468183772,0.00132305836138163,0.0273947211104543,0.00212092978595647,0.0344289257079228,0.00184888739451162,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",11,0.062992887077543,0.00149991651051975,0.0268758009342132,0.00232987631380982,0.0361170861433298,0.00192911926917901,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",12,0.0644399102990704,0.00148486420855523,0.0275653248378477,0.00241858140776636,0.0368745854612227,0.00204539969570713,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",13,0.0634984079301717,0.00150091912450262,0.0293034297491918,0.00237577827417793,0.0341949781809798,0.00194810456487067,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",14,0.0639823654010134,0.0013776915823076,0.0309002725244472,0.00220171584946378,0.0330820928765662,0.00188576427364881,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",15,0.0634834008779916,0.00150781560929821,0.0303729615028261,0.00232243202165684,0.0331104393751656,0.00186547964781273,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",16,0.0635711432765218,0.00137579269605879,0.029587671016276,0.00209145700395439,0.0339834722602457,0.00177507582488216,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",17,0.0636939544209712,0.00146634945491666,0.0284609553155561,0.00246584317668055,0.0352329991054151,0.00206674125317868,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",18,0.06471078773311,0.00150648584147406,0.0316110421571183,0.0021101500783889,0.0330997455759916,0.00184824879621765,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",19,0.0650099099551306,0.00155161134032612,0.0321206409919334,0.00236839814702358,0.0328892689631973,0.0020592650933658,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",20,0.0620785164962828,0.00142027910290647,0.0291389984325213,0.00206461038169618,0.0329395180637615,0.00171923577693969,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",21,0.0638206135121175,0.00137777615633483,0.0278501915782839,0.00229423819200622,0.0359704219338336,0.00196566088668079,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",22,0.0612115288893885,0.00149746472593201,0.0260521973924426,0.00212636492622471,0.035159331496946,0.00176797255888236,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",23,0.0616870304387235,0.00139201038656073,0.0300247268583138,0.00239048325192152,0.0316623035804097,0.00206800721728915,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",24,0.0618340837405483,0.00150538242598253,0.0303134352201108,0.00238425896477335,0.0315206485204374,0.00202546420610774,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",25,0.0625704890409938,0.00148938926117884,0.0299674766136395,0.00225685216415541,0.0326030124273543,0.00178991116939984,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",26,0.0638950143828488,0.00139915233987866,0.0292052505610014,0.00231244046661614,0.0346897638218473,0.00198073113381225,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",27,0.0604311698226914,0.0014963952700198,0.0268720903088086,0.00242077116111328,0.0335590795138828,0.00201768477949693,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",28,0.0650141548627431,0.00142808384394216,0.0330278675527546,0.00236929146487388,0.0319862873099885,0.00212285296849575,0.0633,0.03,0.0149,0.0333,0.0184
